file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0038_324734_to_333424,ཨ་ནས་དེ་ཁ་ཕེ་རེད་དཱ། ཨ་ནས་བུ་གུ་དེས་རཱ། ང་། ང་གཉིས་འོ་ཨོ། ཁྱོད། ཁྱོད་ཨ་མ་ལབ་ཀྱི་ཡོད་རེད་དཱ། བུ་གུ་ནི་གཅིག་ཡང་བཏང་ཡ་ཡོད་མ་རེད་དཱ། དབུགས་བཏང་ཡ་ཡོད་མ་རེད་དཱ།  ,a nas de kha phe red dA/_a nas bu gu des rA/_nga /_nga gnyis 'o o/_khyod/_khyod a ma lab kyi yod red dA/_bu gu ni gcig yang btang ya yod ma red dA/_dbugs btang ya yod ma red dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0038_324734_to_333424.wav,STT_CS,3,156,8.69,wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0038_324734_to_333424.wav,ཨ་ནས་པུ་གུ་དེ་རཱ། ་དའང་ང་ནི།ཁྱོད་ཁྱོད་ཨ་མ་ལབ་ཀི་ཡོད་རེད་ད། པུ་གུ་མནམ་གཅིག་ཡང་གདང་ཡ་ཡོད་མ་རེད་ད། དབུགས་བཏང་ཡ་ཡོད་མ་རེད་ད།
STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0042_365790_to_368811,ང་ཚོ་ཡིས་འདི་ལ་བཞག་བཞག་རེད་དཱ། ཨ་ནས་ཁོང་ཚོ་རྗེས་ལ་ཕྱི་ལོགས།  ,nga tsho yis 'di la bzhag bzhag red dA/_a nas khong tsho rjes la phyi logs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0042_365790_to_368811.wav,STT_CS,3,61,3.021,wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0042_365790_to_368811.wav,ང་ཚོ་ཡིས་འདི་ལ་བཞག་བཞག་རེད་ད། ཨ་ནས་ཁོང་ཚོ་འདི་ལ་ཕྱི་ལོགས།
STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0043_369132_to_371562,ས་ཊཀ་ལམ་ཁ་དཀྱིལ་ལ་འགྲོ་ནས་ཨ་ནས་ཁོང་ཚོ།  ,sa Taka lam kha dkyil la 'gro nas a nas khong tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0043_369132_to_371562.wav,STT_CS,3,40,2.43,wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0043_369132_to_371562.wav,ས་ཆ་ལམ་ཁ་དཀྱེལ་ནས་འགྲོ་ནས། ཨེ་ནས་ཁོང་ཚོ།
STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0045_378497_to_384100,འདིར་ཤོག་ང་གཉིས་འདིར་བསྡད། ཡ་ད་ཁྱོད་གཉིས་ཆ་ཨ་འདི་འདི།  ,'dir shog nga gnyis 'dir bsdad/_ya da khyod gnyis cha a 'di 'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0045_378497_to_384100.wav,STT_CS,3,55,5.603,wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0045_378497_to_384100.wav,འདིར་ཤོག ང་གཉིས་འདིར་བསྡད་ཡ། ཕ་། དཔ་ོ། ཡ་ད་ཁྱོད་གཉིས་ཆདིདི།
STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0049_410037_to_414205,ཝེ། འདིར་མ་བཞག ཁོང་ཚོས་མཐོང་གི་རེད། འདིར་བཞག་ཡིན་དཱ། ཝེ་འདིར་ཤོག་དང་། འདིར་བཞག་ཡིན་དཱ།  ,we/_'dir ma bzhag_khong tshos mthong gi red/_'dir bzhag yin dA/_we 'dir shog dang /_'dir bzhag yin dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0049_410037_to_414205.wav,STT_CS,3,88,4.168,wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0049_410037_to_414205.wav,ཝེ། འདིར་མ་བཞག་ཁོང་ཚོ་འཐུག འདིར་བཞག་ཡིན་ད། ཝེ་འདིར་ཤོག་དང་། འདིར་བཞག་ཡིན་ད།
STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0050_416550_to_419942,ཝེ། སུ་ཌར་འ་ཨང་བཞི་དྲུག་གཅིག་གཅིག་ལབ་ཡ་དེ་ངའི་རེད།  ,we/_su Dar 'a ang bzhi drug gcig gcig lab ya de nga'i red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0050_416550_to_419942.wav,STT_CS,3,52,3.392,wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0050_416550_to_419942.wav,ཝེ། སོ་ཌྀར་ར། བཞི་དྲུག་གཅིག་གཅིག་ལབ་ཡ་དེ་ངའི་རེད།
STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0051_421377_to_424161,བཞི་དྲུག་གཅིག་གཅིག་དེ།  ,bzhi drug gcig gcig de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0051_421377_to_424161.wav,STT_CS,3,24,2.784,wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0051_421377_to_424161.wav,བཞི་དྲུག་གཅིག་གཅིག་དེ།
STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0053_429426_to_431485,ཨ། ཨ་མ་ངའི་ཀ་ཅི་ངག་ཐོག་འཇུས་ཨ།  ,a/_a ma nga'i ka ci ngag thog 'jus a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0053_429426_to_431485.wav,STT_CS,3,32,2.059,wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0053_429426_to_431485.wav,ཨསུ་ཨ་མ་ངའི་ཀ་ཅི་ཉབ་ཏོག་ྒྱིས་ཨ།
STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0054_432379_to_438733,ཨ་ནས་འདི་དེར། དེར་བཞག་ཡོད་རེད་དཱ། ང་ཚོ་རྐུ་མ་གིས་ཁྱེར་རེད། འདིར། འདིར།  ,a nas 'di der/_der bzhag yod red dA/_nga tsho rku ma gis khyer red/_'dir/_'dir/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0054_432379_to_438733.wav,STT_CS,3,72,6.354,wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0054_432379_to_438733.wav,ཨ་ནས་འདི་དི། འདིར་བཞག་ཡོད་རེད། མ་རེད། ང་ཚོ་རྐུན་དགའ་ཡི་ཁྱིར་རེད། ཨ་ནས། དིདི།
STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0055_438733_to_445086,གཡུག་བཞག་ཡོད་རེད་དཱ། རྐུ་མ་གིས་འདིར་ཁ་བསྡམས་ནས་བཞག་ཡོད་རེད། ཁྱོད་གཉིས་མགྱོགས་པོ་རྒྱུགས། ཁྱོད་གཉིས། རག་མ་སོང་།  ,g.yug bzhag yod red dA/_rku ma gis 'dir kha bsdams nas bzhag yod red/_khyod gnyis mgyogs po rgyugs/_khyod gnyis/_rag ma song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0055_438733_to_445086.wav,STT_CS,3,111,6.353,wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B02-1_1-R_R-01_0055_438733_to_445086.wav,གཡུག་བཞག་ཡོད་རེད་ད། རྐུན་མ་ཡིས་དི་ཏ་ཁ་འགྲམ་བཞག་རེད། ཁྱོད་་།
